year,age,males[M],females[M],birth_rate[/y],birth_ratio,male_deathrate[/y],female_deathrate[/y],births[M/y],male_births[M/y],female_births[M/y],male_deaths[M/y],female_deaths[M/y],immigrants[M/y],male_change[pu],female_change[pu]
2020,0.0,1.766703,1.695028,0.0,0.0,0.003049,0.002541,0.0,0.0,0.0,0.005387,0.004307,0.0,,
2020,1.0,1.80332,1.7338,0.0,0.0,0.002531,0.001978,0.0,0.0,0.0,0.004564,0.003429,0.0,,
2020,2.0,1.877109,1.802045,0.0,0.0,0.001976,0.001453,0.0,0.0,0.0,0.003709,0.002618,0.0,,
2020,3.0,1.942635,1.86351,0.0,0.0,0.001388,0.000964,0.0,0.0,0.0,0.002696,0.001796,0.0,,
2020,4.0,2.007788,1.923454,0.0,0.0,0.000769,0.000506,0.0,0.0,0.0,0.001544,0.000973,0.0,,
2020,5.0,2.035021,1.949811,0.0,0.0,0.000122,7.7e-05,0.0,0.0,0.0,0.000248,0.00015,0.0,,
2020,6.0,2.034056,1.946373,0.0,0.0,0.00015,8.9e-05,0.0,0.0,0.0,0.000305,0.000173,0.0,,
2020,7.0,2.056674,1.969716,0.0,0.0,0.000177,0.000101,0.0,0.0,0.0,0.000364,0.000199,0.0,,
2020,8.0,2.068614,1.974365,0.0,0.0,0.000206,0.000112,0.0,0.0,0.0,0.000426,0.000221,0.0,,
2020,9.0,2.100535,2.005816,0.0,0.0,0.000235,0.000122,0.0,0.0,0.0,0.000494,0.000245,0.0,,
2020,10.0,2.153039,2.055824,0.0001998,0.97,0.000265,0.000132,0.000411,0.0,0.0,0.000571,0.000271,0.0,,
2020,11.0,2.198525,2.099164,0.00045854099999999997,0.97,0.000374,0.000182,0.000963,0.0,0.0,0.000822,0.000382,0.0,,
2020,12.0,2.249472,2.151157,0.000717282,0.97,0.000485,0.000229,0.001543,0.001,0.001,0.001091,0.000493,0.0,,
2020,13.0,2.249198,2.145517,0.000977022,0.97,0.000598,0.000275,0.002096,0.001,0.001,0.001345,0.00059,0.0,,
2020,14.0,2.208497,2.104242,0.001235763,0.97,0.000712,0.000319,0.0026,0.001,0.001,0.001572,0.000671,0.0,,
2020,15.0,2.211307,2.103524,0.001494504,0.97,0.000827,0.000361,0.003144,0.002,0.002,0.001829,0.000759,0.0,,
2020,16.0,2.227537,2.11693,0.013713273,0.97,0.000972,0.000414,0.02903,0.014,0.015,0.002165,0.000876,0.0,,
2020,17.0,2.204392,2.095911,0.025931043,0.97,0.001118,0.000465,0.054349,0.027,0.028,0.002465,0.000975,0.0,,
2020,18.0,2.253981,2.183752,0.038148813,0.97,0.001271,0.000517,0.083308,0.041,0.042,0.002865,0.001129,0.037037,,
2020,19.0,2.389017,2.333501,0.050366583,0.97,0.001424,0.000566,0.11753,0.058,0.06,0.003402,0.001321,0.037037,,
2020,20.0,2.355956,2.285508,0.062585352,0.97,0.001573,0.000612,0.143039,0.07,0.073,0.003706,0.001399,0.037037,,
2020,21.0,2.300602,2.228535,0.068005926,0.97,0.001651,0.000653,0.151554,0.075,0.077,0.003798,0.001455,0.037037,,
2020,22.0,2.222753,2.1478,0.073427499,0.97,0.001727,0.000695,0.157708,0.078,0.08,0.003839,0.001493,0.037037,,
2020,23.0,2.181628,2.106132,0.07884907199999999,0.97,0.001803,0.000738,0.166067,0.082,0.084,0.003933,0.001554,0.037037,,
2020,24.0,2.191873,2.122376,0.084270645,0.97,0.00188,0.000783,0.178854,0.088,0.091,0.004121,0.001662,0.037037,,
2020,25.0,2.198156,2.141859,0.089692218,0.97,0.001956,0.000829,0.192108,0.095,0.098,0.0043,0.001776,0.037037,,
2020,26.0,2.209884,2.167654,0.090648261,0.97,0.002061,0.000888,0.196494,0.097,0.1,0.004555,0.001925,0.037037,,
2020,27.0,2.245404,2.215043,0.091605303,0.97,0.002163,0.000949,0.20291,0.1,0.103,0.004857,0.002102,0.037037,,
