age,males[M],females[M],birth_rate[/y],birth_ratio,male_deathrate[/y],female_deathrate[/y]
0,1.766703,1.695028,0.0,0.0,0.003049,0.002541
1,1.80332,1.7338,0.0,0.0,0.002531,0.001978
2,1.877109,1.802045,0.0,0.0,0.001976,0.001453
3,1.942635,1.86351,0.0,0.0,0.001388,0.000964
4,2.007788,1.923454,0.0,0.0,0.000769,0.000506
5,2.035021,1.949811,0.0,0.0,0.000122,7.7e-05
6,2.034056,1.946373,0.0,0.0,0.00015,8.9e-05
7,2.056674,1.969716,0.0,0.0,0.000177,0.000101
8,2.068614,1.974365,0.0,0.0,0.000206,0.000112
9,2.100535,2.005816,0.0,0.0,0.000235,0.000122
10,2.153039,2.055824,0.0002,0.97,0.000265,0.000132
11,2.198525,2.099164,0.000459,0.97,0.000374,0.000182
12,2.249472,2.151157,0.000718,0.97,0.000485,0.000229
13,2.249198,2.145517,0.000978,0.97,0.000598,0.000275
14,2.208497,2.104242,0.001237,0.97,0.000712,0.000319
15,2.211307,2.103524,0.001496,0.97,0.000827,0.000361
16,2.227537,2.11693,0.013727,0.97,0.000972,0.000414
17,2.204392,2.095911,0.025957,0.97,0.001118,0.000465
18,2.253981,2.183752,0.038187,0.97,0.001271,0.000517
19,2.389017,2.333501,0.050417,0.97,0.001424,0.000566
20,2.355956,2.285508,0.062648,0.97,0.001573,0.000612
21,2.300602,2.228535,0.068074,0.97,0.001651,0.000653
22,2.222753,2.1478,0.073501,0.97,0.001727,0.000695
23,2.181628,2.106132,0.078928,0.97,0.001803,0.000738
24,2.191873,2.122376,0.084355,0.97,0.00188,0.000783
25,2.198156,2.141859,0.089782,0.97,0.001956,0.000829
26,2.209884,2.167654,0.090739,0.97,0.002061,0.000888
27,2.245404,2.215043,0.091697,0.97,0.002163,0.000949
28,2.273683,2.257151,0.092655,0.97,0.002264,0.001011
29,2.329117,2.316357,0.093612,0.97,0.002363,0.001074
30,2.321937,2.317853,0.09457,0.97,0.00246,0.001139
31,2.258112,2.265051,0.085971,0.97,0.002556,0.001207
32,2.227106,2.239257,0.077372,0.97,0.002648,0.001276
33,2.204335,2.218702,0.068773,0.97,0.002738,0.001346
34,2.231554,2.244753,0.060174,0.97,0.002826,0.001418
35,2.201197,2.217735,0.051575,0.97,0.002912,0.001493
36,2.161206,2.184859,0.043614,0.97,0.00305,0.001598
37,2.184806,2.221095,0.035653,0.97,0.003185,0.001707
38,2.14866,2.191181,0.027693,0.97,0.003316,0.001818
39,2.161379,2.200488,0.019732,0.97,0.003442,0.001932
40,2.12591,2.167371,0.011771,0.97,0.003566,0.002049
41,2.024191,2.071425,0.009597,0.97,0.003822,0.002197
42,1.993686,2.049265,0.007422,0.97,0.004079,0.002344
43,1.946191,2.000934,0.005247,0.97,0.004334,0.002491
44,1.917218,1.972151,0.003073,0.97,0.00459,0.002638
45,1.931542,1.980612,0.000898,0.97,0.004843,0.002783
46,1.88544,1.941081,0.000718,0.776,0.005279,0.003034
47,1.936782,2.004573,0.000539,0.582,0.005716,0.003285
48,2.022843,2.090364,0.000359,0.388,0.006149,0.003534
49,2.154833,2.219838,0.00018,0.194,0.00658,0.003782
50,2.100916,2.162442,0.0,0.0,0.007013,0.00403
51,2.026702,2.096947,0.0,0.0,0.007732,0.004444
52,1.976749,2.05107,0.0,0.0,0.00845,0.004856
53,1.995163,2.076795,0.0,0.0,0.009169,0.005269
54,2.047597,2.136204,0.0,0.0,0.009887,0.005682
55,2.135187,2.239187,0.0,0.0,0.01061,0.006098
56,2.161049,2.275847,0.0,0.0,0.011634,0.006694
57,2.156912,2.277101,0.0,0.0,0.012655,0.00729
58,2.148208,2.275343,0.0,0.0,0.013678,0.007888
59,2.162479,2.302115,0.0,0.0,0.014704,0.00849
60,2.124233,2.271934,0.0,0.0,0.01573,0.009093
61,2.077961,2.236605,0.0,0.0,0.016897,0.009881
62,2.065744,2.23583,0.0,0.0,0.018051,0.010681
63,1.998632,2.178222,0.0,0.0,0.019196,0.011495
64,1.941369,2.126652,0.0,0.0,0.020326,0.012319
65,1.890171,2.082105,0.0,0.0,0.021444,0.013156
66,1.79225,1.996136,0.0,0.0,0.023427,0.014569
67,1.730865,1.937987,0.0,0.0,0.025372,0.015997
68,1.654883,1.862361,0.0,0.0,0.027291,0.01745
69,1.562618,1.774491,0.0,0.0,0.029197,0.018935
70,1.510625,1.725924,0.0,0.0,0.031068,0.020439
71,1.456117,1.674402,0.0,0.0,0.034737,0.023189
72,1.455822,1.675979,0.0,0.0,0.038336,0.025973
73,1.404547,1.625147,0.0,0.0,0.041897,0.028815
74,1.044444,1.228876,0.0,0.0,0.045452,0.03174
75,1.008651,1.204748,0.0,0.0,0.048947,0.034714
76,0.981982,1.184398,0.0,0.0,0.055164,0.039573
77,0.956672,1.170105,0.0,0.0,0.061337,0.044512
78,0.810798,1.009978,0.0,0.0,0.067467,0.049535
79,0.720483,0.916382,0.0,0.0,0.073544,0.054639
80,0.649505,0.844918,0.0,0.0,0.079561,0.05982
81,0.604381,0.795382,0.0,0.0,0.090996,0.069251
82,0.546706,0.735643,0.0,0.0,0.102362,0.078861
83,0.480314,0.664445,0.0,0.0,0.113627,0.088633
84,0.43548,0.618918,0.0,0.0,0.124745,0.098535
85,0.391613,0.57425,0.0,0.0,0.135741,0.108593
86,0.326659,0.49382,0.0,0.0,0.141294,0.114687
87,0.294477,0.463073,0.0,0.0,0.146776,0.120903
88,0.257389,0.419723,0.0,0.0,0.15209,0.127166
89,0.224242,0.384202,0.0,0.0,0.157332,0.133558
90,0.187581,0.339522,0.0,0.0,0.162431,0.140027
91,0.149833,0.286967,0.0,0.0,0.196881,0.172099
92,0.122276,0.249782,0.0,0.0,0.230781,0.204593
93,0.094875,0.206538,0.0,0.0,0.264022,0.23743
94,0.072182,0.166728,0.0,0.0,0.296526,0.270553
95,0.053157,0.133359,0.0,0.0,0.071016,0.070816
96,0.049382,0.123915,0.0,0.0,0.076445,0.076205
97,0.045607,0.114472,0.0,0.0,0.08275,0.082501
98,0.041833,0.105028,0.0,0.0,0.09024,0.089919
99,0.038058,0.095584,0.0,0.0,0.099191,0.098793
100,0.034283,0.086141,0.0,0.0,0.110113,0.109634
101,0.030508,0.076697,0.0,0.0,0.123705,0.123134
102,0.026734,0.067253,0.0,0.0,0.141206,0.14041
103,0.022959,0.05781,0.0,0.0,0.164424,0.163363
104,0.019184,0.048366,0.0,0.0,0.196779,0.195261
105,0.015409,0.038922,0.0,0.0,0.244987,0.242613
106,0.011634,0.029479,0.0,0.0,0.324394,0.320364
107,0.00786,0.020035,0.0,0.0,0.48028,0.471375
108,0.004085,0.010591,0.0,0.0,0.924113,0.891606
109,0.00031,0.001148,0.0,0.0,1.0,1.0
