age,males,females,birth_rate[/y],birth_ratio,death_rate[/y],death_ratio
5,9479120,9320910,0,0,0.0028,1.2
10,10282249,9809421,0,0,0.0001,1.6
15,10976324,10452299,0.0002,0.97,0.0002,2
20,11208282,10724511,0.0015,0.97,0.0006,2.29
25,11332302,10750649,0.0628,0.97,0.0011,2.57
30,11632482,11131684,0.09,0.97,0.0014,2.36
35,11590600,11197930,0.0948,0.97,0.0018,2.16
40,11230551,10902698,0.0517,0.97,0.0022,1.95
45,10392462,10213370,0.0118,0.97,0.0028,1.74
50,10195885,10080366,0.0009,0.97,0.0038,1.74
55,10388129,10328355,0,0,0.0055,1.74
60,10829680,11079076,0,0,0.0083,1.74
65,10175162,10711492,0,0,0.0123,1.73
70,8499689,9369954,0,0,0.0171,1.63
75,6773062,7728903,0,0,0.0254,1.52
80,4358956,5323993,0,0,0.0412,1.41
85,2660991,3627793,0,0,0.0684,1.33
90,1479466,2438387,0,0,0.1196,1.25
95,613403,1304895,0,0,0.148,1.16
100,142453,432673,0,0,0.311,1.08
105,0,67044,0,0,,1
